region,cs,freq,ml,el,wc,tweet,author,lat,lon,Cebu,34.75%,2148, Dumaguete,7.67%,474, Davao,27.64%,1709, CDO,29.94%,1851,6182
v,,,,,2, Halang? Haha, jhanine22,7.07376,125.524088,,,,,,,,,,,,,
v,,,,,2, huhu* diay, RiyisKathey,7.042983,125.574041,,,,,,,,,,,,,
d,,,,,2, Meiko xx, TrinaParane,9.316626,123.303929,,,,,,,,,,,,,
d,,,,,2, naikog ko, VincentPauIcao,9.311076,123.308831,,,,,,,,,,,,,
c,,,,,2, @ambrayvaaal okaaayszxxxzahsdjdidnnxie, jensenafrans,10.385757,123.916294,,,,,,,,,,,,,
o,,,,,2," ""Aw okay""      "," ""hazelfaelnar07",8.47425,124.657295,,,,,,,,,,,,,
c,,,,,2, Den bitches, DuaneGenayas,10.251713,123.863035,,,,,,,,,,,,,
c,,,,,2, Morning \u2600, tara_musni,10.300193,123.894817,,,,,,,,,,,,,
o,,,,,2," ""Luoy sha""      "," ""ohnana_geneyca",8.478531,124.604436,,,,,,,,,,,,,
d,,,,,2, Meiko xx, TrinaParane,9.316982,123.303883,,,,,,,,,,,,,
o,,,,,2, PiAno tiles, andrea8211999,8.48463,124.664821,,,,,,,,,,,,,
o,,,,,2," ""late nami""      "," ""DyanJenica",8.473546,124.674424,,,,,,,,,,,,,
o,,,,,2, @ShenJulianne IMY, jennjigya,8.240521,124.244206,,,,,,,,,,,,,
o,,,,,2," ""Good morning!""      "," ""HazelMaeGonzaga",8.450522,124.646185,,,,,,,,,,,,,
o,,,,,2, OREO HAHA., kateeerrs,8.472534,124.652013,,,,,,,,,,,,,
c,,,,,2, @ SM Cebu, carlbautista3,10.31264,123.918673,,,,,,,,,,,,,
c,,,,,2, ***\u25cb\u2665, kathlynnmae,10.397443,123.921403,,,,,,,,,,,,,
o,,,,,2, Heh saba, hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
c,,,,,2, @ArgelPalma gooo., syrilleee,10.433493,124.002854,,,,,,,,,,,,,
c,,,,,2, @mahhfet hahahahahah, Thereselalala,10.370909,123.957065,,,,,,,,,,,,,
c,,,,,2, ang lamig, hashtag_banana,10.357026,123.918942,,,,,,,,,,,,,
c,,,,,2, @ambrayvaaal wateverrrrrrr, jensenafrans,10.385757,123.916321,,,,,,,,,,,,,
v,,,,,2, Flaky af, innasalanga,7.063821,125.601056,,,,,,,,,,,,,
v,,,,,2, Hi guys!, aaarnica,7.058087,125.579928,,,,,,,,,,,,,
c,,,,,2, @velvetgh0st Insidious, JulesNg01,10.327436,123.914504,,,,,,,,,,,,,
o,,,,,2, @andrea8211999 @ken_villaflor, andrea8211999,8.484631,124.664825,,,,,,,,,,,,,
c,,,,,2," ""\ud83c\udf88"" "," ""JustinKateh",10.31836,123.906433,,,,,,,,,,,,,
o,,,,,2, Good morning!, auramaria028,8.994966,124.886422,,,,,,,,,,,,,
v,,,,,2, @riogrrrande jbee?, Cliiiyuuu,7.069706,125.606349,,,,,,,,,,,,,
